ID,Target_AUC,Target_LogLoss
ID_VR75BG,0,0
ID_D2J0WZ,0,0
ID_CWLNAK,0,0
ID_9BU2DP,0,0
ID_QTX80L,0,0
ID_ZN2B0I,0,0
ID_LZTQB3,0,0
ID_GBKT0A,0,0
ID_A5272C,0,0
ID_M830O3,0,0
ID_B8AWTG,0,0
ID_O2FG96,0,0
ID_U8023Z,0,0
ID_YNH8P8,0,0
ID_4H55KD,0,0
ID_43ONVH,0,0
ID_D22OY1,0,0
ID_WXRR19,0,0
ID_QPK39H,0,0
ID_2Y4T1Y,0,0
ID_NR622T,0,0
ID_RH0FB1,0,0
ID_MTBT69,0,0
ID_VA1A86,0,0
ID_TB1R95,0,0
ID_KH4HTN,0,0
ID_92TH5X,0,0
ID_ODTXQG,0,0
ID_HL8WRT,0,0
ID_578R69,0,0
ID_2X847R,0,0
ID_Y47LZX,0,0
ID_B1PJR0,0,0
ID_0FFWV1,0,0
ID_U1XDGM,0,0
ID_RO6W6C,0,0
ID_UFKWDA,0,0
ID_P8Q04V,0,0
ID_JLJ03D,0,0
ID_B8QILA,0,0
ID_JE3FZR,0,0
ID_LQ9CHV,0,0
ID_XSLBHB,0,0
ID_9VLEGV,0,0
ID_7U65QA,0,0
ID_ZSZ56U,0,0
ID_7P6UJA,0,0
ID_4NIXHH,0,0
ID_ZSR9YY,0,0
ID_G52BSJ,0,0
ID_V0QT54,0,0
ID_VMIGJX,0,0
ID_U7RLPJ,0,0
ID_LFBHSJ,0,0
ID_TEQ9BY,0,0
ID_G6RY2W,0,0
ID_PRYAL5,0,0
ID_2QCLF5,0,0
ID_A8KNGU,0,0
ID_W4SD30,0,0
ID_R8E5BZ,0,0
ID_CKGM7U,0,0
ID_QECMWH,0,0
ID_V2IQ0U,0,0
ID_1TDW2G,0,0
ID_VWDTB0,0,0
ID_QA2ZXS,0,0
ID_WZK14V,0,0
ID_JTSQGK,0,0
ID_W00JRV,0,0
ID_TFU0ON,0,0
ID_X7Y768,0,0
ID_COGMQY,0,0
ID_V56UJ0,0,0
ID_A9F0SA,0,0
ID_T0R4DQ,0,0
ID_FNKU5J,0,0
